Date Updated,Title,Price,URL,Description
12-04,Fitbit Surge Fitness Superwatch - Small,20,https://portland.craigslist.org/mlt/clo/d/fitbit-surge-fitness-superwatch-small/7693685723.html,"Fitbit Surge looking for a new wrist to call home. It's still in awesome shape. Just charged it up and took it for a test run – works like a charm. Features: - GPS Tracking: Get your pace, distance, and routes on point. - Heart Rate Monitor: Keeps track of your ticker 24/7 without a chest strap. - Smartwatch Notifications: Stay connected with text and call alerts, plus control your music without touching your phone. Comes with all original accessories including charger!"
12-04,8oz Angelus Grey Taupe Acrylic Leather Paint,4,https://portland.craigslist.org/mlt/art/d/8oz-angelus-grey-taupe-acrylic-leather/7693681298.html,Works great.
12-04,"Della 14,000 BTU Portable Air Conditioner",120,https://portland.craigslist.org/mlt/app/d/della-btu-portable-air-conditioner/7693681243.html,"Stay cool and comfortable during those hot summer days with the powerful Della 048-GM-48265 Portable Air Conditioner! Features: - Brand: Della - Model: 048-GM-48265 - Cooling Capacity: 14,000 BTU - Remote control - Comes with a 5 1/2 foot exhaust tube - Adjustable window attachment to fit most window types - Evaporative technology for efficient cooling - Dimensions: 18” x 14” x 34” - Easy to move around with built-in caster wheels This unit is in excellent condition and functions perfectly. It's great for apartments, homes, or any space where a permanent AC installation or window unit isn't feasible. Set up is a breeze, and it's designed to efficiently cool your space without being a bulky eyesore."
12-04,LG Window Air Conditioner - Excellent Condition!,100,https://portland.craigslist.org/mlt/app/d/lg-window-air-conditioner-excellent/7693681175.html,"Looking to sell my LG window air conditioner. This powerful unit is sure to keep you cool during the hot summer months. Features: - Brand: LG - Window-mounted design for easy installation - Comes with remote control and installation hardware. - Multiple airflow and temperature settings (as seen in the digital display) - Front and side vents for efficient cooling - Clean and well-maintained unit - Sleek white finish that blends with most window frames and room decor - Dimensions: 19.5"" x 12.5"" x 19.5"" This AC has been lightly used and is in excellent condition. It's great for apartments, homes, or any space where efficient cooling is needed. Installation is straightforward, and the unit is designed to fit most standard windows. It was the NYT Wirecutter top pick for window units!"
12-04,5 qt Crock Pot,8,https://portland.craigslist.org/mlt/app/d/qt-crock-pot/7693681104.html,"Crock pot, works great!"
12-04,Jabra Solemate Bluetooth Speaker,12,https://portland.craigslist.org/mlt/hsh/d/jabra-solemate-bluetooth-speaker/7693676689.html,Great little bluetooth speaker!
12-04,Beautiful Marble Shelves with Mounting Brackets - Set of 3,16,https://portland.craigslist.org/mlt/fuo/d/beautiful-marble-shelves-with-mounting/7693676638.html,"For sale is a set of three elegant marble shelves, perfect for adding a touch of luxury to any space. Their timeless design complements both modern and traditional interiors. - Shelf 1 & 2: - Dimensions: 24"" x 8"" - Features: Smooth marble finish with a thickness of 3/4 inches. - Brackets: Comes with 5-inch gold-tone mounting brackets. - Shelf 3: - Dimensions: 30"" x 3"", with a thickness of 3/4 inches. - Special Features: Has a drilled hole and a unique notch where a mirror used to fit. These characteristics give the shelf added versatility and design options. - Brackets: 3-inch gold-tone mounting brackets, offset for a distinct look. All shelves are in great condition. The marble displays a stunning natural pattern, and the included brackets make installation a breeze. Whether you're looking to showcase decorative items, store essentials, or display art, these shelves offer both style and functionality."
12-04,9 blank cds,0,https://portland.craigslist.org/mlt/zip/d/blank-cds/7693676511.html,""
12-04,Elegant Genuine Leather Oxford Shoes - Size 39 (US 7.5),12,https://portland.craigslist.org/mlt/clo/d/elegant-genuine-leather-oxford-shoes/7693676413.html,For sale is a pair of sophisticated oxford shoes crafted from genuine leather! EU size 39. I'm usually a size 7.5 and they fit great.
12-04,"Brand New Pleasers 8"" Heels - Size 8",48,https://portland.craigslist.org/mlt/clo/d/brand-new-pleasers-heels-size/7693672227.html,"I've got an untouched pair of Pleasers waiting for the perfect feet to flaunt them! In a sultry deep red with a clear design twist, these babies are a stiletto lover's dream. Rock 'em and tower over your admirers. ✨ I'm normally a size 7.5, and these were a little big on me. Oops!"
12-04,"8"" Hella LipKit Boujee boots - Size 8",64,https://portland.craigslist.org/mlt/clo/d/hella-lipkit-boujee-boots-size/7693672173.html,"✨Never-worn 8"" Hella LipKit Boujee boots, size 8. Step up your style game! I'm normally a size 7.5 and these were a little big on me... and then I forgot to return them"
12-04,Nike Air Vapormax - Size Women's 7,64,https://portland.craigslist.org/mlt/clo/d/nike-air-vapormax-size-womens/7693672106.html,"Hey sneakerheads! Dive into the freshest kicks on the block. Introducing the Nike Air Vapormax 2020 FK Women's Shoe in the sleek and rare Flyknit Summit White. Yes, you read that right – it's a discontinued colorway, making it a collector's dream! New in the box! ✨ Brand new, never worn, in the box ✨ Fun, unique sole design ✨ Size Women's 7 Slide into style and get ready to flaunt these beauties on your next night out, workout session, or just a casual day out. But hurry, shoes this cool won't last long! Grab yours now and strut in style! #SneakerFreak #LimitedDrop #NikeMagic"
12-04,Nike Running Water Bottle,4,https://portland.craigslist.org/mlt/spo/d/nike-running-water-bottle/7693672037.html,Stay hydrated on the go with this sleek Nike running water bottle! 🏃‍♂️💧 Features a comfy handle and a handy pouch for your essentials. Perfect for those who love to move! Grab yours and make every run smoother! 👟🔥 #StayThirstyMyFriends
12-04,Nasty Gal Silonna boots - Size Women's 7,24,https://portland.craigslist.org/mlt/clo/d/nasty-gal-silonna-boots-size-womens/7693671986.html,"Nasty Gal Silonna boots! Black checkerboard design on a killer 5"" platform heel. Brand new in the box. Size: Women's US 7 / EU 38. These were the wrong size and I forgot to return them in time Lucky you!"
12-04,Moonlight Roller Women's Roller Skates Size 7,144,https://portland.craigslist.org/mlt/spo/d/moonlight-roller-womens-roller-skates/7693667527.html,"So they're actually a size 5, but they fit like a 7 or a 7.5 even. Maybe it's UK sizes? The Mirror Ball Moon Boot by Moonlight Roller. Color: ""Disco Ball"" with fun moon cutout on the ankle Boot: Stylish light-colored design with a sturdy wooden base. Laces up like a dream and feels super comfy! Fit: Italian-style for maximum comfort. Say goodbye to painful break-in times. These come with original wheels and 82"" laces. Specs: Genuine suede upper Painted aluminum-alloy eyelets Stabilizing tongue feature Padded lining with custom prints Cushy insole for comfy rides Light as a feather aluminum-alloy plate Adjustable PU toe stop 58mm 82A urethane wheels with an inner hub Zoom around with ABEC-7 bearings Catch you on the flip side!"
12-04,InStyler Rotating Curling Iron,8,https://portland.craigslist.org/mlt/hab/d/instyler-rotating-curling-iron/7693667462.html,Looking to add some waves or curls to your hair game? I've got an InStyler curling iron that's eager to find a new home. It's the secret weapon you need for those fantastic hair days! Brand: InStyler Features: - Automatic rotating action. - 3 heat settings. - Comes with an attached brush for smooth curling. Wave on!
12-04,White Ankle Boots - Size Women's 7.5,12,https://portland.craigslist.org/mlt/clo/d/white-ankle-boots-size-womens-75/7693667397.html,Stylin' white with cool ribbed details. Pointy toes & chunky black heels. Slide 'em on and rock your look!
12-04,Snake boots! Size 8,8,https://portland.craigslist.org/mlt/clo/d/snake-boots-size/7693667327.html,"Edgy and unique, perfect for making a statement. Women's Size 8. Slide into these and let your wild side out! Ready to strut? These boots are waiting for you.✨"
12-04,Stylish Black Ankle Boots - New! - Size Women's 7.5,32,https://portland.craigslist.org/mlt/clo/d/stylish-black-ankle-boots-new-size/7693667258.html,"Hey there! Selling my sleek black ankle boots. They've got side zippers, a chic wooden heel, and cool detailing on the sole. Bonus: a fun floral-patterned inner lining. Perfect for any outfit. Brand new. Size 7.5. Grab a deal and strut in style!"
12-04,"7"" Pleasers Heels Size Women's 8",16,https://portland.craigslist.org/mlt/clo/d/pleasers-heels-size-womens/7693662887.html,"Matte faux leather custom colored metallic mauve. Women's Size 8. Edgy, unique, and ready to rock your world. ✨"""
12-04,Beautiful Two-Tone Woven Basket,8,https://portland.craigslist.org/mlt/hsh/d/beautiful-two-tone-woven-basket/7693662821.html,"Sturdy and stylish, this two-tone woven basket boasts a blend of natural tan and soft white hues. Measuring approximately 10 inches in height, it's perfect for storage, decoration, or as a chic accessory for outings. The basket showcases intricate weaving patterns and is accompanied by strong rope handles for easy transportation. Ideal for organizing or adding a touch of elegance to any room. In excellent condition."
12-04,Two Copper Mugs,6,https://portland.craigslist.org/mlt/hsh/d/two-copper-mugs/7693662733.html,"4"" tall, good sized mugs. Have a Moscow with a friend!"
12-04,Cutie Gilded Cat Mug,8,https://portland.craigslist.org/mlt/hsh/d/cutie-gilded-cat-mug/7693662681.html,""
12-04,SHARON's Florida Mug,12,https://portland.craigslist.org/mlt/hsh/d/sharons-florida-mug/7693662618.html,"Illustration features: - Flamingo! - Sailboarding! - Tiger! - Waterslide! - Hybiscus! - Palmtree! - Castle? - Sealife! - Pondlife! - Spacelife! Perfect for Sharons, Shannons, and Shawns."
12-04,Doublewalled Glass travel mug/thermos,8,https://portland.craigslist.org/mlt/hsh/d/doublewalled-glass-travel-mug-thermos/7693658202.html,Never used! Really nice.
12-04,Fernet Branca Glasses,16,https://portland.craigslist.org/mlt/hsh/d/fernet-branca-glasses/7693658148.html,6 amaro glasses with Fernet logo.
12-04,2 Decorative triangular shelf brackets,8,https://portland.craigslist.org/mlt/fuo/d/decorative-triangular-shelf-brackets/7693658037.html,"For shelves that are 8"" deep Bracket back is 5"" wide"
12-04,Circular mat for safe pole dancing,40,https://portland.craigslist.org/mlt/spo/d/circular-mat-for-safe-pole-dancing/7693657966.html,"58"" diameter, folds into quarters. Some slight wear on one of the corners."
12-04,2 Rubbermaid Jugs,8,https://portland.craigslist.org/mlt/hsh/d/rubbermaid-jugs/7693653332.html,One 2-qt jug One gallon jug Both brand new!
12-04,Small cactus in pot,8,https://portland.craigslist.org/mlt/hsh/d/small-cactus-in-pot/7693653278.html,""
12-04,Complete Home Distilling Kit with glass carboy,40,https://portland.craigslist.org/mlt/hsh/d/complete-home-distilling-kit-with-glass/7693653240.html,"Includes everything shown in pictures. Mostly unused! Note, some tarnish on the outside of the copper coil. See photo. 5 gallon glass carboy also available if you're interested!"
12-04,Small ceramic plant pot with bottom,8,https://portland.craigslist.org/mlt/hsh/d/small-ceramic-plant-pot-with-bottom/7693653170.html,"4"" tall"
12-04,PlayStation 5 DualSense Wireless Controller,24,https://portland.craigslist.org/mlt/ele/d/playstation-dualsense-wireless/7693653110.html,Certified Preowned from Gamestop
12-04,Revlon hairdryer,8,https://portland.craigslist.org/mlt/hab/d/revlon-hairdryer/7693648691.html,Works great!
12-04,Brand new Crocks - Size men's 6/women's 8,4,https://portland.craigslist.org/mlt/clo/d/brand-new-crocks-size-mens-womens/7693648634.html,""
12-04,Sparkly bejeweled fuzzy crocks! Size Women's 8,12,https://portland.craigslist.org/mlt/clo/d/sparkly-bejeweled-fuzzy-crocks-size/7693648559.html,"Gently used, heavily bejewled!"
12-04,Coleman Propane camp grill with 2 full tanks,28,https://portland.craigslist.org/mlt/spo/d/coleman-propane-camp-grill-with-full/7693648481.html,"11"" tall, 12.5"" diameter"
12-04,Artificial monteserra,8,https://portland.craigslist.org/mlt/hsh/d/artificial-monteserra/7693648418.html,"About 12"" tall"
12-04,Artificial pothos,4,https://portland.craigslist.org/mlt/hsh/d/artificial-pothos/7693643763.html,"about 10"" tall, pot has 4"" diameter"
12-04,Artificial money plant,4,https://portland.craigslist.org/mlt/hsh/d/artificial-money-plant/7693643705.html,"about 10"" tall"
12-04,Arched bathroom mirror medicine cabinet,20,https://portland.craigslist.org/mlt/fuo/d/arched-bathroom-mirror-medicine-cabinet/7693643651.html,"Comes with 1 glass shelf but it's missing a bracket for that shelf. Interior is 17.5"" tall x 13.5"" wide (see photos) Mirror is 29"" tall x 16"" wide"
12-04,STOK Charcoal Grill,40,https://portland.craigslist.org/mlt/hsh/d/stok-charcoal-grill/7693643599.html,The thermometer doesn't work and the catch tray underneath is a little rusty. It's in good shape where it counts though! Comes with an unused pizza stone insert that fits into the grill!
12-04,2 Chrome curtain rods with mounts,5,https://portland.craigslist.org/mlt/hsh/d/chrome-curtain-rods-with-mounts/7693643546.html,"Only one is pictured, but two rods are available! Minimum 33"", maximum 55"" Comes with 4 mounting brackets"
